family,seed,config,outcome,success,collided,reached,time_to_goal,path_length,min_clearance,steps,alpha_max,alpha_escape_frac,slack_max,slack_mean,cbf_active_steps,entrapped_frac,n_obstacles,n_dynamic,feasible
narrowdyn,27,C_escape,SUCCESS,1,0,1,30.9,10.1644,0.2696,309,2.0,0.0,0.0,0.0,0,0.4805,14,2,1
narrowdyn,27,D_cbf,TIMEOUT,0,0,0,40.1,3.0593,0.2708,401,2.0,0.0,5.3e-05,0.0,400,0.0,14,2,1
narrowdyn,27,E_indep,SUCCESS,1,0,1,32.3,11.0123,0.2659,323,2.0,0.0,0.000384,2e-06,322,0.5093,14,2,1
narrowdyn,27,F_full,SUCCESS,1,0,1,32.3,11.0034,0.2659,323,6.0,0.5093,5.3e-05,0.0,322,0.5093,14,2,1
narrowdyn,27,Fminus_nogap,TIMEOUT,0,0,0,40.1,3.0777,0.2708,401,6.0,0.7725,5.3e-05,0.0,400,0.7725,14,2,1
utrap,30,A_stock,TIMEOUT,0,0,0,40.1,2.4798,0.3254,401,2.0,0.0,0.0,0.0,0,0.0,9,0,1
utrap,30,C_escape,SUCCESS,1,0,1,29.4,6.4134,0.3254,294,2.0,0.0,0.0,0.0,0,0.2287,9,0,1
utrap,30,D_cbf,TIMEOUT,0,0,0,40.1,2.4798,0.3254,401,2.0,0.0,0.0,0.0,400,0.0,9,0,1
utrap,30,E_indep,SUCCESS,1,0,1,29.4,6.4134,0.3254,294,2.0,0.0,0.0,0.0,293,0.2287,9,0,1
utrap,30,F_full,SUCCESS,1,0,1,29.4,6.4134,0.3254,294,6.0,0.2287,0.0,0.0,293,0.2287,9,0,1
utrap,30,Fminus_nogap,TIMEOUT,0,0,0,40.1,2.461,0.3254,401,6.0,0.7825,0.0,0.0,400,0.7825,9,0,1
clutter,31,A_stock,SUCCESS,1,0,1,14.6,5.6092,0.3274,146,2.0,0.0,0.0,0.0,0,0.0,5,0,1
clutter,31,C_escape,SUCCESS,1,0,1,14.6,5.6092,0.3274,146,2.0,0.0,0.0,0.0,0,0.0,5,0,1
clutter,31,D_cbf,SUCCESS,1,0,1,14.6,5.6092,0.3274,146,2.0,0.0,0.0,0.0,145,0.0,5,0,1
clutter,31,E_indep,SUCCESS,1,0,1,14.6,5.6092,0.3274,146,2.0,0.0,0.0,0.0,145,0.0,5,0,1
clutter,31,F_full,SUCCESS,1,0,1,14.6,5.6092,0.3274,146,2.0,0.0,0.0,0.0,145,0.0,5,0,1
clutter,31,Fminus_nogap,SUCCESS,1,0,1,14.6,5.6092,0.3274,146,2.0,0.0,0.0,0.0,145,0.0,5,0,1
utrap,29,A_stock,TIMEOUT,0,0,0,40.1,2.97,0.3481,401,2.0,0.0,0.0,0.0,0,0.0,13,0,1
utrap,29,C_escape,SUCCESS,1,0,1,30.0,10.1228,0.3202,300,2.0,0.0,0.0,0.0,0,0.4582,13,0,1
utrap,29,D_cbf,TIMEOUT,0,0,0,40.1,2.97,0.3481,401,2.0,0.0,0.0,0.0,400,0.0,13,0,1
utrap,29,E_indep,SUCCESS,1,0,1,30.0,10.1228,0.3202,300,2.0,0.0,0.0,0.0,299,0.4582,13,0,1
utrap,29,F_full,SUCCESS,1,0,1,30.0,10.1228,0.3202,300,6.0,0.4582,0.0,0.0,299,0.4582,13,0,1
utrap,29,Fminus_nogap,TIMEOUT,0,0,0,40.1,2.9519,0.3522,401,6.0,0.6075,0.0,0.0,400,0.6075,13,0,1
